p,n_lanes,time_saving,time_saving_pct,construction_cost,annual_benefit,npv_net,bc_ratio,base_total_time,av_total_time
0.0,1,-221.93698619637053,-5.576528653685213,595455.7999999988,-38883359.981604114,-300842454.73401964,-504.2305389149291,3979.8412234411253,4201.778209637496
0.0,2,-455.8564164653699,-11.45413575246147,1223098.399999999,-79866044.1647328,-617927521.2826345,-504.2148880929245,3979.8412234411253,4435.697639906495
0.0,3,-455.8564164653699,-11.45413575246147,2414010.0000000135,-79866044.1647328,-619118432.8826345,-255.4688766337468,3979.8412234411253,4435.697639906495
0.0,4,-455.8564164653699,-11.45413575246147,3073839.400000008,-79866044.1647328,-619778262.2826345,-200.63000782755043,3979.8412234411253,4435.697639906495
0.0,5,-455.8564164653699,-11.45413575246147,3266960.1999999695,-79866044.1647328,-619971383.0826344,-188.77010588700784,3979.8412234411253,4435.697639906495
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3979.8412234411253,3979.8412234411253
0.3,1,-119.31706016746102,-3.0013812472993138,595455.7999999988,-20904348.941339172,-162013297.19220635,-271.08282662156734,3975.4049997754946,4094.7220599429556
0.3,2,-245.07651440712561,-6.1648187900595275,1223098.399999999,-42937405.32412841,-332774360.8598885,-271.0748885452624,3975.4049997754946,4220.48151418262
0.3,3,-245.07651440712561,-6.1648187900595275,2414010.0000000135,-42937405.32412841,-333965272.4598885,-137.34461019626542,3975.4049997754946,4220.48151418262
0.3,4,-245.07651440712561,-6.1648187900595275,3073839.400000008,-42937405.32412841,-334625101.85988855,-107.86225931643914,3975.4049997754946,4220.48151418262
0.3,5,-245.07651440712561,-6.1648187900595275,3266960.1999999695,-42937405.32412841,-334818222.6598885,-101.48616516965576,3975.4049997754946,4220.48151418262
0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,3975.4049997754946,3975.4049997754946
0.5,1,-100.43994218438274,-2.4846281125108285,595455.7999999988,-17597077.870703854,-136475426.64579916,-228.194890109055,4042.4537450348516,4142.893687219234
0.5,2,-206.30324871019457,-5.103416432744265,1223098.399999999,-36144329.17402609,-280320027.475031,-228.1884508025121,4042.4537450348516,4248.756993745046
0.5,3,-206.30324871019457,-5.103416432744265,2414010.0000000135,-36144329.17402609,-281510939.07503104,-115.61548173993873,4042.4537450348516,4248.756993745046
0.5,4,-206.30324871019457,-5.103416432744265,3073839.400000008,-36144329.17402609,-282170768.4750311,-90.79749874864325,4042.4537450348516,4248.756993745046
0.5,5,-206.30324871019457,-5.103416432744265,3266960.1999999695,-36144329.17402609,-282363889.27503103,-85.43015892113827,4042.4537450348516,4248.756993745046
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,4042.4537450348516,4042.4537450348516
0.7,1,-96.866591374589,-2.342385655792243,595455.7999999988,-16971026.808827996,-131641226.29385908,-220.07640280581592,4135.381854608682,4232.248445983271
0.7,2,-198.96379703757793,-4.811255744517099,1223098.399999999,-34858457.24098365,-270390865.25519884,-220.07041040622659,4135.381854608682,4334.34565164626
0.7,3,-198.96379703757793,-4.811255744517099,2414010.0000000135,-34858457.24098365,-271581776.85519886,-111.50234127248741,4135.381854608682,4334.34565164626
0.7,4,-198.96379703757793,-4.811255744517099,3073839.400000008,-34858457.24098365,-272241606.2551989,-87.56728372184902,4135.381854608682,4334.34565164626
0.7,5,-198.96379703757793,-4.811255744517099,3266960.1999999695,-34858457.24098365,-272434727.05519885,-82.39089256587863,4135.381854608682,4334.34565164626
0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,4135.381854608682,4135.381854608682
1.0,1,-112.81147771230735,-2.6229956299978414,595455.7999999988,-19764570.895196248,-153212233.2417865,-256.30244502075016,4300.86411209157,4413.675589803877
1.0,2,-231.7148790293695,-5.387635437676811,1223098.399999999,-40596446.80594554,-314698099.70226306,-256.29581504011725,4300.86411209157,4532.5789911209395
1.0,3,-231.7148790293695,-5.387635437676811,2414010.0000000135,-40596446.80594554,-315889011.3022631,-129.85654628699191,4300.86411209157,4532.5789911209395
1.0,4,-231.7148790293695,-5.387635437676811,3073839.400000008,-40596446.80594554,-316548840.7022631,-101.98158085365887,4300.86411209157,4532.5789911209395
1.0,5,-231.7148790293695,-5.387635437676811,3266960.1999999695,-40596446.80594554,-316741961.50226307,-95.95311301994619,4300.86411209157,4532.5789911209395
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4300.86411209157,4300.86411209157
