p_av,mean_flow,std_flow,mean_speed,std_speed,mean_density,congestion_index,max_flow,min_speed,throughput,av_actual_percentage,p_value,simulation_id,use_optimized_params
0.0,6611.75927734375,457.3031921386719,23.24810028076172,1.6079576015472412,26.33333333333333,0.2250632792711258,7732.7998046875,19.139240264892578,367.3199768066406,0.0,0.0,0,True
0.05,6659.49609375,609.3340454101562,23.569093704223633,2.1487011909484863,26.16166666666667,0.21436351537704468,8251.19921875,18.467533111572266,369.9720153808594,0.006772151898734179,0.05,1,True
0.1,6768.576171875,456.3280029296875,26.250852584838867,1.795736312866211,23.893333333333334,0.12540684014558792,7819.19970703125,21.68000030517578,376.0320129394531,0.06132127048868173,0.1,2,True
0.15000000000000002,6826.4638671875,550.3714599609375,26.610097885131836,2.080618381500244,23.753333333333334,0.11439246386289596,8208.0009765625,21.91666603088379,379.24798583984375,0.0454117596938743,0.15000000000000002,3,True
0.2,7237.29638671875,560.9002075195312,29.5128116607666,2.7349841594696045,22.75,0.04544365644454956,8812.7998046875,22.33333396911621,402.072021484375,0.11467327553009941,0.2,4,True
0.25,7293.1318359375,445.52001953125,31.457128524780273,2.267277240753174,21.5,0.014203101098537445,8164.7998046875,25.083332061767578,405.1739807128906,0.08384754707596027,0.25,5,True
0.30000000000000004,7693.10986328125,584.1381225585938,35.976009368896484,2.5782883167266846,19.82333333333333,0.0,8769.6005859375,30.31578826904297,427.3949890136719,0.12289490696059582,0.30000000000000004,6,True
0.35000000000000003,7698.34814453125,557.1296997070312,40.339752197265625,3.2388076782226562,17.701666666666664,0.0,8942.3994140625,31.411766052246094,427.6860046386719,0.1505532800608716,0.35000000000000003,7,True
0.4,7327.90771484375,601.55517578125,38.32106399536133,2.735734224319458,17.716666666666665,0.0,9072.0,30.0,407.10595703125,0.15095000940377773,0.4,8,True
0.45,7329.85205078125,620.2344970703125,36.09756851196289,2.9760196208953857,18.823333333333334,0.0,8856.0,30.631580352783203,407.2139892578125,0.18310609991931492,0.45,9,True
0.5,7310.08740234375,663.6422119140625,35.111053466796875,3.468217134475708,19.328333333333333,0.003023797571659088,8726.400390625,26.34375,406.115966796875,0.11696588903121644,0.5,10,True
0.55,7936.10986328125,518.3262329101562,43.174278259277344,3.5293116569519043,17.07166666666667,0.0,9244.7998046875,34.47272491455078,440.8949890136719,0.27504930144321316,0.55,11,True
0.6000000000000001,8433.072265625,546.0545043945312,52.108707427978516,3.9608676433563232,15.063333333333334,0.0,10195.2001953125,42.63829803466797,468.5039978027344,0.46431616601092,0.6000000000000001,12,True
0.65,8112.79833984375,445.4552307128906,51.75444412231445,2.961866617202759,14.55,0.0,9158.3994140625,41.77777862548828,450.71099853515625,0.44774083706673523,0.65,13,True
0.7000000000000001,8362.0078125,677.3289794921875,54.5770149230957,2.3978376388549805,14.175000000000002,0.0,9763.19921875,46.80000305175781,464.55596923828125,0.5282913904675354,0.7000000000000001,14,True
0.75,8742.81640625,854.6921997070312,53.61263656616211,3.1570656299591064,15.138333333333332,0.0,10756.7998046875,45.17647171020508,485.7120056152344,0.5770319345876309,0.75,15,True
0.8,9072.86328125,742.5213012695312,56.054351806640625,2.339498996734619,15.026666666666667,0.0,10843.2001953125,49.24528503417969,504.0479736328125,0.663934046470564,0.8,16,True
0.8500000000000001,9238.103515625,584.46826171875,56.057003021240234,3.398894786834717,15.288333333333334,0.0,10368.0,44.22222137451172,513.2279663085938,0.7373262853542301,0.8500000000000001,17,True
0.9,10247.255859375,433.0042724609375,58.69358444213867,1.0612837076187134,16.168333333333337,0.0,11188.7998046875,54.857147216796875,569.2919921875,0.8967349566786557,0.9,18,True
0.9500000000000001,11866.28515625,191.7318115234375,59.25776290893555,0.8344425559043884,18.541666666666668,0.0,12096.0,56.78571319580078,659.238037109375,0.9640422077922076,0.9500000000000001,19,True
1.0,13176.0,0.0,60.0,0.0,20.333333333333336,0.0,13176.0,60.0,732.0,1.0,1.0,20,True
