route_id,start_milepost,end_milepost,demand_capacity_ratio,avg_traffic,avg_lanes
5,163.48,164.22,2.0166666666666666,242000,2.5
5,163.36,163.48,1.9833333333333334,238000,2.5
405,10.56,10.93,1.84375,177000,2.0
405,3.3,3.69,1.7916666666666667,172000,2.0
405,9.59,9.96,1.6770833333333333,161000,2.0
405,6.72,7.2,1.6041666666666667,154000,2.0
405,4.79,5.19,1.59375,153000,2.0
405,7.69,8.98,1.5833333333333333,152000,2.0
405,8.98,9.59,1.5729166666666667,151000,2.0
405,5.89,6.34,1.5416666666666667,148000,2.0
405,9.96,10.56,1.53125,147000,2.0
405,7.2,7.69,1.5104166666666667,145000,2.0
405,6.34,6.72,1.5,144000,2.0
405,4.5,4.79,1.4375,138000,2.0
5,155.18,155.59,1.4226190476190477,239000,3.5
405,5.19,5.89,1.3854166666666667,133000,2.0
5,183.19,183.59,1.3611111111111112,196000,3.0
5,179.61,180.36,1.3541666666666667,195000,3.0
405,3.69,4.5,1.3541666666666667,130000,2.0
5,175.1,175.28,1.3472222222222223,194000,3.0
